message,dtTime,userID,user,type,episode
2.5元的弹幕,12.179,d93d9d99,d93d9d99,2,1
留个影！,12.24,5eaffb97,5eaffb97,2,1
二刷,12.261,d9a38cf0,d9a38cf0,2,1
那我也要微笑,12.338,d58acd0,d58acd0,2,1
富有的微笑,12.338,bca9ca24,bca9ca24,2,1
花钱了不留个弹幕岂不是很亏,12.363,4515a16f,4515a16f,2,1
5块留下一条弹幕，来自抖森老婆,12.419,b7be17d7,b7be17d7,2,1
花了五块的人露出贫穷的微笑。,12.521,df4e8a8c,df4e8a8c,2,1
年费滴微笑,12.558,6dd235ca,6dd235ca,2,1
财富的象征,12.845,7f325bf7,7f325bf7,2,1
嚣张,12.866,fa01b4f9,fa01b4f9,2,1
都是花了钱的大家客气一点,13.039,3e216750,3e216750,2,1
大家好，我爱你们,13.139,a32ae90,a32ae90,2,1
再来一遍！,13.14,ef65672c,ef65672c,2,1
都是会员，嚣张什么,13.14,92b58179,92b58179,2,1
价值5元的弹幕,13.249,f884564d,f884564d,2,1
看来各位都是钞能力者,13.318,5415e5ea,5415e5ea,2,1
2.5的微笑,13.34,921196a0,921196a0,2,1
年费的微笑,13.436,6a742b8a,6a742b8a,2,1
留影,13.518,43d46075,43d46075,2,1
2.5,13.559,984dab26,984dab26,2,1
富裕的微笑,13.597,bd537697,bd537697,2,1
我来看徐锦江老师了,13.61,2d5ea68c,2d5ea68c,1,1
钞能力,13.641,215ee93d,215ee93d,2,1
富裕身我们相遇,13.697,b22230b3,b22230b3,2,1
富贵的微笑,13.721,f76a96a,f76a96a,2,1
两块五总要留点东西下来,13.878,7a561b3,7a561b3,2,1
谢兵儿子,13.94,9b28a74a,9b28a74a,1,1
富贵使我们相遇,14.018,92d724d3,92d724d3,2,1
2.5,14.053,8f076bc8,8f076bc8,2,1
年费送的b币,14.158,e31aeee2,e31aeee2,2,1
2-5的。。,14.162,ca92a2a2,ca92a2a2,2,1
小赵一点,14.165,ed108d07,ed108d07,2,1
哈哈哈哈哈哈哈哈哈哈哈哈hhhhhhh,14.332,a0195c4f,a0195c4f,2,1
大家都是大会员 嚣张一点没事,14.479,3c85864e,3c85864e,2,1
富有的微笑,14.506,46dbc674,46dbc674,2,1
5元留念,14.593,135b296b,135b296b,2,1
此弹幕5块,14.618,8bf17bbb,8bf17bbb,2,1
2.5弹幕预警 ！！,14.621,d41004eb,d41004eb,2,1
按个爪,14.721,2c644c45,2c644c45,2,1
总归得留点什么,14.74,fc5d47b7,fc5d47b7,2,1
都是有钱人，全都嚣张一点,14.797,853b772f,853b772f,2,1
破产,14.801,4f0500a7,4f0500a7,2,1
大家好啊,14.838,dba864ad,dba864ad,2,1
年费的微笑！,14.841,69663d94,69663d94,2,1
留影氪金玩家,14.921,e9a73924,e9a73924,2,1
索，你在看吗？？？,14.952,c839853,c839853,2,1
2.5我也要留点痕迹,14.998,32b81e6,32b81e6,2,1
钞能力者的微笑,15.018,8f4b24af,8f4b24af,2,1
富裕使我们相遇,15.089,3dfc615,3dfc615,2,1
...,15.229,5ebec870,5ebec870,2,1
美人鱼战士大电影,15.335,a6b40b95,a6b40b95,1,1
两块五留个纪念，富贵使我们相遇,15.45,cac8dfe8,cac8dfe8,2,1
来了，来了,15.528,2a43c781,2a43c781,2,1
买了买了,15.539,9e13f670,9e13f670,2,1
2.5元的微笑φ(≧ω≦*),15.558,cf960ede,cf960ede,2,1
2.5,15.616,9fc30b49,9fc30b49,2,1
1080P＋什么意思？我的怎么是,15.84,99ae2b0,99ae2b0,1,1
是啊,15.918,9dc1003b,9dc1003b,2,1
2.5,15.957,4050930a,4050930a,2,1
突然想起来b站之前返的b币劵还没有用,15.958,395bcef,395bcef,2,1
五块！,15.998,1525da9a,1525da9a,2,1
