message,dtTime,userID,user,type,episode
哈哈哈哈哈哈哈哈哈哈哈哈hhhhhhh,14.332,a0195c4f,a0195c4f,2,2
大家都是大会员 嚣张一点没事,14.479,3c85864e,3c85864e,2,2
富有的微笑,14.506,46dbc674,46dbc674,2,2
5元留念,14.593,135b296b,135b296b,2,2
此弹幕5块,14.618,8bf17bbb,8bf17bbb,2,2
2.5弹幕预警 ！！,14.621,d41004eb,d41004eb,2,2
按个爪,14.721,2c644c45,2c644c45,2,2
总归得留点什么,14.74,fc5d47b7,fc5d47b7,2,2
都是有钱人，全都嚣张一点,14.797,853b772f,853b772f,2,2
破产,14.801,4f0500a7,4f0500a7,2,2
大家好啊,14.838,dba864ad,dba864ad,2,2
年费的微笑！,14.841,69663d94,69663d94,2,2
留影氪金玩家,14.921,e9a73924,e9a73924,2,2
索，你在看吗？？？,14.952,c839853,c839853,2,2
2.5我也要留点痕迹,14.998,32b81e6,32b81e6,2,2
钞能力者的微笑,15.018,8f4b24af,8f4b24af,2,2
富裕使我们相遇,15.089,3dfc615,3dfc615,2,2
...,15.229,5ebec870,5ebec870,2,2
两块五留个纪念，富贵使我们相遇,15.45,cac8dfe8,cac8dfe8,2,2
来了，来了,15.528,2a43c781,2a43c781,2,2
买了买了,15.539,9e13f670,9e13f670,2,2
2.5元的微笑φ(≧ω≦*),15.558,cf960ede,cf960ede,2,2
2.5,15.616,9fc30b49,9fc30b49,2,2
是啊,15.918,9dc1003b,9dc1003b,2,2
2.5,15.957,4050930a,4050930a,2,2
突然想起来b站之前返的b币劵还没有用,15.958,395bcef,395bcef,2,2
五块！,15.998,1525da9a,1525da9a,2,2
两块五干杯,16.145,ca5cc315,ca5cc315,2,2
妙啊～(￣▽￣～)~,16.161,f38a740a,f38a740a,2,2
2.5的微笑,16.288,a9ecac24,a9ecac24,2,2
年费送B币的微笑+10086,16.493,fcd64743,fcd64743,2,2
2.5的微笑,16.554,a10d6d8d,a10d6d8d,2,2
有没有恐怖片介绍,16.653,b3584e6e,b3584e6e,2,2
都是会员嚣张一点,16.718,365fb26e,365fb26e,2,2
这是一条五块钱的弹幕。,16.728,8d0f7530,8d0f7530,2,2
嚣张| ू•ૅω•́)ᵎᵎᵎ,16.742,e3391464,e3391464,2,2
富豪的微笑,16.82,c4cf1f45,c4cf1f45,2,2
有钱了不起啊？有钱就能为所欲为吗？,16.879,b1069e49,b1069e49,2,2
来啦,16.981,d9d25a19,d9d25a19,2,2
免费的微笑,16.999,73f3952a,73f3952a,2,2
年费的微笑,17.079,6f24ead0,6f24ead0,2,2
2.5的微笑,17.101,bc78caa1,bc78caa1,2,2
钱都花了 必须发个弹幕,17.336,a553c5bb,a553c5bb,2,2
年费的微笑,17.43,db4dfd99,db4dfd99,2,2
按爪爪！,17.521,2c644c45,2c644c45,2,2
2.5B币哎！,17.558,c9aa9b9e,c9aa9b9e,2,2
2.5的弹幕,17.647,57f3c644,57f3c644,2,2
到此一游,17.741,2b6c2b4c,2b6c2b4c,2,2
不嚣张就浪费了,17.841,3.33233E+07,3.33233E+07,2,2
2.5,17.92,b8e15f4,b8e15f4,2,2
五元的微笑,17.962,646621bc,646621bc,2,2
5块疯狂留言,18.066,5c225cda,5c225cda,2,2
资本主义的气息,18.166,c09085c1,c09085c1,2,2
2.5,18.21,286482,286482,2,2
2.5的弹幕,18.261,ea212398,ea212398,2,2
呵呵,18.278,79d8e78c,79d8e78c,2,2
年费的微信,18.347,39e1a11f,39e1a11f,2,2
大家都是富贵人,18.4,61f1ab65,61f1ab65,2,2
2.5,18.539,c1ca518c,c1ca518c,2,2
来自年费的微笑,18.575,855a96ac,855a96ac,2,2
合影,18.878,7196b4bd,7196b4bd,2,2
2.5,18.975,64c54074,64c54074,2,2
2块5的弹幕,18.98,8a39960f,8a39960f,2,2
这点钱比去电影院便宜多少……,19.058,e9f4e7ed,e9f4e7ed,2,2
微笑,19.195,82437821,82437821,2,2
2.5使我们相遇,19.197,16f97a66,16f97a66,2,2
五块钱的惨叫,19.2,5fc3ff22,5fc3ff22,2,2
嚣张，就很嚣张,19.238,11e97038,11e97038,2,2
2.5元得微笑,19.475,639c0d0d,639c0d0d,2,2
大家都是25吗,19.538,bba71c27,bba71c27,2,2
都是会员嚣张一点,19.638,cc02fec7,cc02fec7,2,2
5块,19.66,3c616bf,3c616bf,2,2
2.5啊，不留点什么说不过去,19.75,dded70c7,dded70c7,2,2
2块5的微笑,19.761,f9280fcd,f9280fcd,2,2
财富的骄傲,19.853,ee8277dd,ee8277dd,2,2
花钱,19.878,5f8b0df6,5f8b0df6,2,2
来了老弟,19.882,ebf9cebd,ebf9cebd,2,2
各位钞能力者好,19.958,5415e5ea,5415e5ea,2,2
哼,19.958,7e79aae0,7e79aae0,2,2
2.5的微笑,19.988,24504fed,24504fed,2,2
花钱花钱hhhh,19.998,378b9a18,378b9a18,2,2
2.5,20.118,a868b009,a868b009,2,2
来了来了,20.189,3376f6cf,3376f6cf,2,2
有钱人的低调,20.217,7cfcb7c2,7cfcb7c2,2,2
年度大会员嚣张一点,20.247,7f325bf7,7f325bf7,2,2
2.5 B币的微笑,20.396,bd010d2d,bd010d2d,2,2
2.5的微笑,20.417,aa0ea8b4,aa0ea8b4,2,2
纪念,20.508,f0fe54f3,f0fe54f3,2,2
年费的微笑,20.796,7f9bf357,7f9bf357,2,2
250分的弹幕出没~,20.948,c8dd6f13,c8dd6f13,2,2
合影,21.021,d2553565,d2553565,2,2
555555,21.055,46ad37ce,46ad37ce,2,2
富人的微笑,21.14,3b43c630,3b43c630,2,2
².5,21.22,ac9987bc,ac9987bc,2,2
有个有钱室友的微笑,21.475,39a30a2d,39a30a2d,2,2
2.5的微笑,21.493,f675f271,f675f271,2,2
年费的微笑,21.554,beef90af,beef90af,2,2
来了老弟,21.578,9529abca,9529abca,2,2
纪念！！！！,21.641,ce7f0ee,ce7f0ee,2,2
留念！,21.775,32b5bcb6,32b5bcb6,2,2
土豪的微笑,21.961,560936d7,560936d7,2,2
会员自己有的b币  所以免费了,22.158,81f0733d,81f0733d,2,2
纪念2.5,22.376,1b94eb53,1b94eb53,2,2
只是一条五块钱的弹幕,22.381,53014515,53014515,2,2
2.5骚一下,22.438,6bcbff6d,6bcbff6d,2,2
五块钱……,22.528,e4b9260e,e4b9260e,2,2
富有让我们相遇,22.576,4306b7b9,4306b7b9,2,2
2.5,22.766,5913b2,5913b2,2,2
2.5,22.797,ff9578af,ff9578af,2,2
在坐的各位都是钞能力者呀,22.954,8f4b24af,8f4b24af,2,2
每个月不是有返还了哪里要钱。。。,22.956,b914006b,b914006b,2,2
花钱留名,23.015,4e4e42d,4e4e42d,2,2
富贵让我们相遇,23.04,40f46057,40f46057,2,2
富贵使我们相遇,23.059,1b37ee78,1b37ee78,2,2
2.5,23.158,f6a309bd,f6a309bd,2,2
2.5的微笑,23.193,c3189956,c3189956,2,2
不好意思 我露出了五块的微笑,23.258,d112433e,d112433e,2,2
.,23.258,84451935,84451935,2,2
我花钱了！,23.296,cad8316f,cad8316f,2,2
2.5的弹幕,23.328,f91915ce,f91915ce,2,2
。。。,23.358,8ba730ba,8ba730ba,2,2
来了,23.358,3f660015,3f660015,2,2
微笑你大爷,23.727,6861b203,6861b203,2,2
这是一条2.5元的弹幕,23.738,97e6a76d,97e6a76d,2,2
留念,23.754,a49ad16e,a49ad16e,2,2
25,23.85,a92c0e36,a92c0e36,2,2
破产的微笑,23.998,fedaaf58,fedaaf58,2,2
合影,24.218,24808bf1,24808bf1,2,2
2.5,24.226,8ffdc62f,8ffdc62f,2,2
为啥我的弹幕值5块？？,24.251,2.5127E+62,2.5127E+62,2,2
是吗,24.318,553d978b,553d978b,2,2
嘿嘿嘿,24.319,d49dc2d1,d49dc2d1,2,2
土豪色,24.326,36e1eeb,36e1eeb,2,2
富贵的微笑,24.464,ba04786f,ba04786f,2,2
五元的故事,24.49,52b90d39,52b90d39,2,2
2.5,24.509,ce31993e,ce31993e,2,2
嚣张,24.514,b517f475,b517f475,2,2
留影,24.6,8518ed47,8518ed47,2,2
哈哈哈哈，资本家的微笑,24.701,d6aba0da,d6aba0da,2,2
2.5啊,24.858,e51da0c7,e51da0c7,2,2
2.5,24.886,8214749e,8214749e,2,2
5元的弹幕，我必须发,25.001,2c374b32,2c374b32,2,2
你爹的五块钱，纪念。,25.015,6991d806,6991d806,2,2
合影留念,25.09,fdc2f9d7,fdc2f9d7,2,2
弹幕要钱,25.239,2162efe6,2162efe6,2,2
23333,25.324,9e726a0,9e726a0,2,2
2.5,25.334,e59f2db3,e59f2db3,2,2
2.5,25.382,d5bb4174,d5bb4174,2,2
半价,25.398,44f95af,44f95af,2,2
花了币还是要留下痕迹的,25.483,dbd116fe,dbd116fe,2,2
年费大会员的嚣张,25.506,bcaa415c,bcaa415c,2,2
2.5,25.579,ab9b0720,ab9b0720,2,2
难受,25.641,14ad8fd5,14ad8fd5,2,2
两块五的微笑,25.674,646cacb7,646cacb7,2,2
2.5B,25.755,8d8c68b1,8d8c68b1,2,2
两块五的微笑,25.802,6ee4a20c,6ee4a20c,2,2
假的21:9？,25.809,34c5e555,34c5e555,2,2
富有的微笑,25.856,c7571b31,c7571b31,2,2
2.5啊,25.881,9a33bba4,9a33bba4,2,2
2.5的过来看看,26.321,a773d828,a773d828,2,2
5元巨款留念,26.346,1dc83435,1dc83435,2,2
耳机坏了嘛？,26.474,abc1cd28,abc1cd28,2,2
哈哈哈,26.538,b610a64f,b610a64f,2,2
有钱真是嗨,26.557,92baf351,92baf351,2,2
2.5的嚣张,26.58,91ba7a4e,91ba7a4e,2,2
我想你了,26.786,b3584e6e,b3584e6e,2,2
2.5,26.838,90a9b587,90a9b587,2,2
留个痕迹,27.077,a09b34d3,a09b34d3,2,2
来看看,27.079,73fe4bb8,73fe4bb8,2,2
为了2.5！！！！,27.181,d41004eb,d41004eb,2,2
a k ja ja ja,27.477,34795c03,34795c03,2,2
。。。。,27.543,e300484f,e300484f,2,2
2.5,27.558,6ec2824e,6ec2824e,2,2
bilibili无限矿业公司,27.774,1383501b,1383501b,2,2
献祭2.5（财富的微笑）,27.798,4dfa025b,4dfa025b,2,2
2.5,28.16,d9d25a19,d9d25a19,2,2
哈哈哈,28.225,8d7d68d0,8d7d68d0,2,2
2.5我嘤嘤嘤,28.278,d95fcaeb,d95fcaeb,2,2
